id,url,title,creator,licence,tri,joints,anims,heads_tall,leg_frac,neck_frac,head_w,chest_w,chest_d,hip_w,note
BNq2fSOKXq,https://poly.pizza/m/BNq2fSOKXq,Guy,Rafael,CC-BY 3.0,2164,65,0,7.41,0.48,0.865,0.065,0.063,0.056,0.16,
IE7rk47BHn,https://poly.pizza/m/IE7rk47BHn,Character_Man,prathm,CC0 1.0,896,28,1,7.41,0.56,0.865,0.124,0.131,0.325,0.132,
qbDLeTtb8K,https://poly.pizza/m/qbDLeTtb8K,Character Base,madtrollstudio,CC-BY 3.0,1508,0,0,7.41,0.47,0.865,0.095,0.17,0.12,0.197,
Qy6esq7e1z,https://poly.pizza/m/Qy6esq7e1z,Woman wearing headset,overscore_media,CC0 1.0,1612,0,0,7.41,0.49,0.865,0.145,0.139,0.109,0.19,
ZwF0K7WBmu,https://poly.pizza/m/ZwF0K7WBmu,Adventurer,Quaternius,CC0 1.0,6808,62,24,7.41,0.5,0.865,0.119,0.16,0.188,0.184,
S8hq7LEXTT,https://poly.pizza/m/S8hq7LEXTT,Cowboy,mastjie,CC0 1.0,4278,0,0,8.0,0.48,0.875,0.14,0.187,0.136,0.218,
0UAcRHVAxA,https://poly.pizza/m/0UAcRHVAxA,Fitness Character,iPoly3D,CC0 1.0,3080,0,0,8.0,0.47,0.875,0.101,0.197,0.135,0.18,
KX8wzUxep8,https://poly.pizza/m/KX8wzUxep8,Fitness Character,iPoly3D,CC0 1.0,3052,0,0,8.0,0.47,0.875,0.101,0.2,0.136,0.179,
eMOTyGEAxj,https://poly.pizza/m/eMOTyGEAxj,Fitness Character,iPoly3D,CC0 1.0,2724,0,0,8.0,0.47,0.875,0.101,0.203,0.139,0.179,
kKtL4zvS3n,https://poly.pizza/m/kKtL4zvS3n,Animated Platformer Character,Quaternius,CC0 1.0,2908,29,18,8.0,0.108,0.875,0.061,0.45,0.346,0.356,
